Employer name (English) / 僱主名稱 (英文) ,Employer name (Chinese) / 僱主名稱 (中文) ,Wage subsidy amount (June ‐ August 2020) / 工資補貼金額 (2020年6月至8月) ,Committed headcount under payroll / 
,,,
,,,承諾受薪僱員人數 
,,,
ABLE LOGISTICS SERVICES LIMITED ,奧寶貨運有限公司 ,"73,038.00",3
,,,
ABLE MART LIMITED ,愛寶曼有限公司 ,"108,000.00",4
,,,
ABLE MAX LOGISTICS LIMITED ,盛豐物流有限公司 ,"80,139.00",4
,,,
ABLE ONE WORLDWIDE LIMITED ,,"27,000.00",1
,,,
ABLE PINE INTERNATIONAL LIMITED ,譽柏國際有限公司 ,"54,000.00",2
,,,
ABLE POWER CREATION LIMITED ,益威創建有限公司 ,"93,000.00",4
,,,
ABLE SURPLUS LIMITED ,必盈有限公司 ,"39,000.00",2
,,,
ABLE TREND TECHNOLOGY LIMITED ,榮通科技有限公司 ,"96,000.00",4
,,,
ABLE UNION INTERNATIONAL SUPPLY CHAIN LIMITED ,優聯國際供應鏈有限公司 ,"123,000.00",5
,,,
ABLE WISE LIMITED ,曉惠有限公司 ,"81,000.00",3
,,,
ABLELINK ELECTRONICS LIMITED ,濱濠電子有限公司 ,"81,000.00",3
,,,
ABLEMEX FINANCIAL & INSURANCE SERVICES LIMITED ,雅文理財保險服務有限公司,"211,500.00",8
,,,
ABLEREX HK LIMITED ,,"49,614.00",2
,,,
"ABLESMART CREATIVE CO., LIMITED ",譽盛利有限公司 ,"49,500.00",2
,,,
ABNC EMPLOYMENT AGENCIES CO ,卓誠僱傭中心 ,"58,200.00",3
,,,
ABOUT TIME AESTHETICS LIMITED ,美好時光醫療有限公司 ,"184,500.00",6
,,,
ABOUTEA LIMITED ,豹茶茶飲有限公司 ,"129,564.00",6
,,,
ABOUTHAI (HONG KONG) LIMITED ,阿布泰(香港)有限公司 ,"1,377,465.00",65
,,,
ABS BUSINESS MANAGEMENT LIMITED ,,"54,000.00",2
,,,
ABS DISTRIBUTING CO ,先進商貿代理公司 ,"138,564.00",7
,,,
ABSOLUTE CREATIVE LIMITED ,,"114,750.00",4
,,,
ABSOLUTE LIFE STYLE LIMITED ,,"189,000.00",7
,,,
ABSOLUTE MUSIC LIMITED ,啟斯音樂有限公司 ,"32,250.00",2
,,,
ABUNDANT GRACE BAPTIST CHURCH LIMITED ,深恩浸信會有限公司 ,"108,000.00",4
,,,
ABUNDANT HOLDING LIMITED ,富亨控股有限公司 ,"105,525.00",6
,,,
ABUS (HONG KONG) LIMITED ,艾寶施(香港)有限公司 ,"689,925.00",26
,,,
AC BUSINESS SERVICES LIMITED ,創紀商業服務有限公司 ,"48,615.00",2
,,,
AC CONCEPT DECORATION LIMITED ,竣毅設計工程有限公司 ,"54,000.00",2
,,,
AC DESIGN ,,"54,000.00",2
,,,
AC EDUCATION LIMITED ,,"42,000.00",3
,,,
AC ELECTRONIC LIMITED ,安駿電子有限公司 ,"224,328.00",10
,,,
AC ELEMENTS LIMITED ,心動傳然有限公司 ,"10,500.00",1
,,,
AC TIMEPIECES INTERNATIONAL LIMITED ,,"81,000.00",3
,,,
ACAD SOLUTIONS LIMITED ,,"652,056.00",24
,,,
ACAI INVESTMENT LIMITED ,,"54,000.00",2
,,,
A‐CALL COMPANY ,駿發技術公司 ,"22,200.00",3
,,,
ACC COMPONENT LTD. ,建浩電子有限公司 ,"108,000.00",4
,,,
ACCA JEWELRY LIMITED ,艾華珠寶有限公司 ,"263,550.00",10
,,,
ACC‐CO PROFESSIONAL SERVICES LIMITED ,雅高專業服務有限公司 ,"27,000.00",1
,,,
ACCEDO BROADBAND ASIA LIMITED ,,"1,187,325.00",44
,,,
ACCELETOWN ASIA LIMITED ,,"106,500.00",4
,,,
ACCESS AMERICA CAPITAL (HK) LIMITED ,,"42,825.00",2
,,,
ACCESS CORPORATE SERVICES (ASIA) LIMITED ,,"27,000.00",1
,,,
ACCESS COSMETIC LTD. ,先俊化粧品有限公司 ,"132,900.00",6
,,,
ACCESS CREATION LIMITED ,瓏泰有限公司 ,"3,000.00",2
,,,
ACCESS EMPLOYMENT SERVICES ,安善菲傭 ,"57,000.00",3
,,,
ACCESS LIGHTING HK LIMITED ,,"81,000.00",3
,,,
ACCESSORIESMALL ,,"153,000.00",7
,,,
ACCLIVE LIMITED ,,"54,000.00",2
,,,
ACCO INDUSTRIAL COMPANY LIMITED ,鉅昇制品實業有限公司 ,"54,000.00",2
,,,
